Voltage (V),Velocity (rad/s),Calculated K_stat,13.765100631814306
-12.0,-198.38224299065422
-11.0,-199.4004901960784
-10.0,-171.3238048780488
-9.0,-135.5321359223301
-8.0,-98.10104265402843
-7.0,-59.107004608294936
-6.0,-22.973133640552994
-5.0,-0.3892825112107623
-4.0,0.0
-3.0,0.0
-2.0,0.017577092511013217
-1.0,0.010913043478260871
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,24.457345132743367
8.0,67.74825688073396
9.0,112.02819444444445
10.0,144.45777777777778
11.0,129.38888349514562
12.0,208.7880882352941
